Total_population__Both_sexes_,Taxable_income__million_yen_,Ordinal_Number_of_employed_persons,Number_of_households__Total_,Ordinal_Number_of_physicians,Number_of_dwellings_with_occupying_households,Ordinal_Total_population__65_and_over_,Number_of_lower_secondary_school_students,Number_of_elderly_nursing_facilities__Questionnaire_about_basic_matters_
b,,e,c,a,,e,c,b
c,d,e,c,a,c,d,b,b
c,c,f,c,a,,c,d,a
b,a,e,c,a,c,b,d,a
b,c,f,b,a,b,d,d,a
a,c,e,b,a,a,d,b,a
d,b,e,b,a,b,c,c,b
d,d,e,a,a,b,c,b,a
c,,e,c,a,b,d,c,a
d,d,e,c,a,,c,b,d
d,d,e,d,a,c,c,c,d
d,d,e,d,a,b,c,d,d
c,c,e,d,a,d,d,c,d
d,d,e,c,a,d,c,d,d
d,c,g,d,a,d,c,d,c
c,a,e,a,a,b,e,d,b
d,c,e,b,a,,d,a,a
d,b,e,b,a,a,d,b,a
d,b,e,d,a,d,d,d,d
c,c,e,d,a,b,c,c,d
b,a,f,a,a,a,d,b,a
c,c,e,d,a,b,c,d,a
c,c,f,c,a,b,d,b,b
a,,e,c,a,a,d,c,a
d,a,d,c,a,a,d,a,a
a,d,h,b,a,,e,b,a
c,d,e,d,a,,c,a,c
b,a,f,a,a,,e,a,b
d,a,e,b,a,d,d,b,b
a,c,d,a,a,,c,c,d
d,c,e,c,a,d,c,d,d
c,a,e,c,a,a,d,b,a
b,c,h,d,a,d,d,d,c
a,a,f,a,a,,d,b,a
a,a,e,b,a,,d,b,b
b,b,f,a,a,a,d,b,d
a,b,f,b,a,a,c,a,a
a,d,f,d,a,,c,a,c
b,c,f,b,a,a,d,c,a
c,a,e,b,a,d,e,c,b
a,a,e,a,a,b,c,d,d
b,a,g,d,a,d,d,b,a
c,b,f,d,a,c,b,b,c
c,,e,c,a,c,d,c,c
b,a,f,a,a,c,d,a,a
b,d,e,b,a,a,d,b,d
c,b,e,b,a,,c,a,b
b,c,e,c,a,a,e,a,c
b,b,f,b,a,,d,b,a
d,d,e,d,a,a,c,c,d
d,c,e,a,a,b,d,c,d
a,b,f,a,a,,d,b,a
a,a,e,a,a,a,e,b,a
d,d,e,d,a,c,c,c,d
c,,d,a,a,c,d,c,d
c,c,f,c,a,b,d,d,d
b,c,e,b,a,a,d,a,a
d,d,e,d,a,b,e,c,d
b,,e,d,a,b,c,c,d
a,b,e,b,a,a,f,c,a
b,b,e,a,a,,c,a,b
b,b,f,b,a,b,d,a,a
b,b,e,a,a,b,d,a,b
a,c,f,b,a,,d,b,b
a,c,e,b,a,b,g,c,d
a,a,f,a,a,,d,a,a
a,,e,d,a,a,d,b,a
d,c,e,b,a,,c,c,a
c,d,e,c,a,b,e,b,b
b,d,e,d,a,a,d,a,d
c,d,e,a,a,c,c,c,c
d,b,f,d,a,,c,d,b
c,c,f,b,a,,d,c,c
d,b,e,d,a,b,e,d,b
c,c,e,c,a,d,c,a,c
c,c,e,c,a,b,d,d,d
b,b,f,a,a,b,c,b,c
b,b,e,b,a,a,d,c,b
d,d,e,b,a,c,c,b,b
c,c,e,a,a,c,d,a,d
c,b,e,c,a,a,c,b,c
b,b,f,c,a,,c,a,a
d,b,f,c,a,d,c,c,c
b,b,f,b,a,a,d,b,b
b,c,e,c,a,d,d,d,c
c,c,e,d,a,b,b,b,a
d,,e,b,a,d,c,d,d
d,c,e,b,a,b,d,c,a
b,a,f,a,a,,d,a,b
b,c,e,a,a,,e,c,d
c,b,e,d,a,b,d,c,d
d,c,e,b,a,d,c,d,b
c,a,e,d,a,b,d,c,b
c,c,e,c,a,a,c,b,d
d,a,g,c,a,b,d,b,c
d,a,f,d,a,a,e,d,c
d,a,e,d,a,a,e,d,c
a,c,f,c,a,c,d,b,b
c,c,e,b,a,d,d,d,d
b,c,d,c,a,a,d,a,c
d,c,e,d,a,b,c,d,d
c,,g,c,a,b,d,a,d
d,a,e,d,a,c,d,d,d
b,a,f,a,a,,d,a,a
a,b,e,c,a,a,c,d,a
c,,e,b,a,b,e,c,c
b,b,f,a,a,d,c,b,b
b,b,f,a,a,a,e,d,b
d,,e,d,a,a,d,c,d
d,b,e,b,a,d,e,b,c
c,d,e,d,a,d,d,c,b
c,b,e,c,a,,d,a,b
b,c,e,b,a,,d,b,b
b,d,e,d,a,c,b,a,b
a,c,f,b,a,b,f,a,c
c,,g,b,a,a,d,d,d
d,c,e,d,a,,c,d,b
c,c,e,b,a,b,d,b,d
b,d,e,d,a,d,b,c,d
d,c,e,d,a,c,c,c,d
d,d,e,d,a,b,c,c,a
d,c,e,c,a,d,c,b,b
d,a,f,b,a,c,d,b,c
b,b,e,c,a,c,d,b,b
b,d,f,b,a,,c,c,a
c,c,e,a,a,b,d,a,d
c,c,f,c,a,,d,c,a
a,c,g,c,a,a,d,d,d
b,d,f,a,a,c,d,d,c
a,a,f,a,a,,d,a,a
a,b,e,c,a,b,d,a,a
a,a,e,a,a,d,b,a,b
d,c,f,b,a,,f,b,d
b,c,g,a,a,b,d,c,a
b,,e,b,a,b,c,d,a
c,d,e,c,a,c,c,c,d
b,a,e,d,a,a,d,a,a
b,b,e,b,a,b,c,b,d
d,d,e,d,a,c,d,d,d
d,c,e,d,a,c,c,d,d
b,d,e,b,a,c,d,c,c
b,b,e,b,a,,c,b,a
d,c,e,d,a,d,d,c,b
c,c,e,b,a,c,c,b,d
d,b,e,a,a,d,c,b,c
c,a,f,c,a,a,d,c,a
c,c,f,b,a,d,e,c,b
c,c,e,d,a,d,d,d,d
d,d,e,d,a,,c,d,d
b,,e,a,a,c,c,d,d
c,c,e,d,a,a,b,d,c
c,b,d,d,a,a,d,d,b
c,b,d,b,a,a,d,b,b
b,b,f,d,a,d,d,b,b
d,d,e,d,a,c,d,b,b
b,a,f,a,a,,e,b,a
a,c,e,c,a,a,e,a,a
d,a,e,c,a,a,d,d,d
b,a,f,a,a,a,e,a,b
a,b,f,b,a,a,e,c,b
c,a,f,a,a,d,d,a,a
c,d,e,b,a,,c,d,a
d,a,f,a,a,,d,c,b
b,a,f,b,a,a,c,d,a
d,c,f,c,a,c,f,c,a
a,b,e,a,a,,c,b,d
c,c,f,c,a,a,f,c,d
b,,f,c,a,c,d,b,d
c,c,e,d,a,c,c,d,b
c,d,e,b,a,a,c,d,a
b,a,e,b,a,,e,b,a
c,a,e,c,a,,c,b,b
c,a,f,b,a,,d,a,b
c,b,e,d,a,c,c,c,a
c,,e,a,a,b,d,c,d
c,c,f,c,a,b,c,b,b
a,b,e,b,a,,e,a,a
d,b,e,a,a,,c,b,a
d,c,e,c,a,d,d,a,b
b,d,e,d,a,,g,c,b
c,d,f,c,a,d,b,b,d
c,c,f,a,a,a,d,c,b
d,d,e,b,a,b,b,c,d
c,d,e,a,a,a,d,c,a
b,a,f,a,a,,d,b,a
c,d,e,d,a,d,d,d,d
c,d,e,c,a,b,d,c,c
d,d,d,b,a,,f,b,d
c,c,f,b,a,,b,a,a
b,d,f,a,a,,c,b,a
c,a,e,d,a,b,d,c,c
c,b,e,b,a,d,c,b,d
a,b,e,d,a,c,e,c,b
d,c,f,b,a,,e,d,d
b,b,f,b,a,b,d,c,a
b,c,g,b,a,b,d,a,c
a,,e,d,a,,e,a,a
a,a,h,a,a,c,f,b,a
b,,f,d,a,c,d,c,a
c,c,f,b,a,c,c,c,a
d,d,e,b,a,b,d,c,b
c,d,e,b,a,b,d,d,c
d,c,e,c,a,b,d,b,d
c,c,e,a,a,,c,b,b
a,d,f,b,a,,d,b,a
d,d,e,c,a,c,d,c,d
d,c,f,d,a,b,c,d,b
c,c,g,a,a,c,e,a,d
a,a,f,a,a,c,d,a,b
a,a,e,a,a,c,c,a,d
d,d,e,d,a,d,d,c,a
a,c,f,c,a,,d,b,d
a,c,e,c,a,a,f,b,c
a,d,e,a,a,,f,d,a
b,c,e,c,a,a,c,c,b
a,d,d,b,a,,e,b,b
a,a,f,a,a,,e,a,c
c,d,f,b,a,c,c,b,a
d,d,e,d,a,d,c,c,c
c,a,e,d,a,c,f,b,d
c,b,f,a,a,,d,d,a
c,d,e,c,a,b,b,d,a
c,a,e,c,a,,d,c,b
a,a,d,a,a,c,d,a,a
