gender,ownhome,approval_senator2,partisan_identity,voted_president_party,protestantism_branch,has_child,religion,union_membership,religion_importance,approval_president,race_ethnicity,approval_governor,citizen,age,economy_retro,educ,approval_house_representative,church_attendance,employment_status,family_income,uninsured,no_immediate_family_served_military,state,year,union_membership_household,evangelical,approval_senator1,marital_status,interest_in_news,ideology,voted_general_election,registered_party,voted_senator_party,intention_house_representative_vote,registration_status,intention_to_vote,intention_president_vote,self_reported_turnout,intention_senator_vote,voted_house_representative_party,intention_governor_vote,voted_governor_party
Male,Own,Approve / Somewhat Approve,Not Very Strong Democrat,,Not protestant,No,Roman Catholic,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Citizen,57,Stayed about the same,4-Year,Approve / Somewhat Approve,More Than Once a Week,Part-Time,150k+,No,No,California,2016,union_hh,No,Approve / Somewhat Approve,Married,Some of the time,Liberal,No Record of Voting,No Record of Party Registration,,,No Record of Registration,Probably,Democratic,No,,,,
Male,Rent,Strongly Disapprove,Lean Democrat,Democratic,Nondenominational or Independent Church,No,Protestant,union,Very Important,Approve / Somewhat Approve,Asian,Disapprove / Somewhat Disapprove,Citizen,32,Stayed about the same,Post-Grad,Disapprove / Somewhat Disapprove,Once or Twice a Month,Full-Time,50k - 60k,No,Yes,Alabama,2014,union_hh,Yes,Disapprove / Somewhat Disapprove,Single / Never Married,Most of the time,Moderate,Voted,No Record of Party Registration,,,Active,"Yes, definitely",,,,,,
Female,Own,Approve / Somewhat Approve,Strong Democrat,Democratic,Not protestant,No,Hindu,union,Very Important,Strongly Approve,Asian,Never Heard / Not Sure,Citizen,58,Gotten better / somewhat better,4-Year,Approve / Somewhat Approve,A Few Times a Year,Full-Time,40k - 50k,No,Yes,New Jersey,2013,union_hh,No,Disapprove / Somewhat Disapprove,Married,Some of the time,Moderate,,,,,,,,,,,,
Female,Own,Strongly Disapprove,Strong Democrat,Democratic,Not protestant,Yes,Buddhist,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Citizen,53,Gotten much better,4-Year,Strongly Disapprove,More Than Once a Week,Full-Time,150k+,No,No,Massachusetts,2012,union_hh,Yes,,Married,Most of the time,Very Conservative,No Record of Voting,No Record of Party Registration,,,No Record of Registration,"Yes, definitely",Democratic,Yes,,,,
Female,,Strongly Approve,Strong Republican,Republican,Baptist,Yes,Protestant,union,Very Important,Strongly Approve,Asian,Strongly Approve,Citizen,65,Gotten worse / somewhat worse,4-Year,Strongly Approve,Once a Week,Full-Time,40k - 50k,,Yes,Texas,2008,union_hh,Yes,Strongly Approve,Divorced,Most of the time,Very Conservative,Voted,,Republican,Republican,Active,,Republican,Yes,Republican,Republican,,
Female,Rent,Approve / Somewhat Approve,Independent,,Not protestant,No,Hindu,union,Very Important,Strongly Disapprove,Asian,Strongly Approve,Citizen,28,Stayed about the same,Some College,Approve / Somewhat Approve,Once a Week,Homemaker,30k - 40k,No,Yes,California,2019,union_hh,No,Strongly Disapprove,Married,Some of the time,Moderate,,,,,,,,,,,,
Female,Own,Never Heard / Not Sure,Not Very Strong Democrat,Democratic,Not protestant,No,Muslim,union,Very Important,Approve / Somewhat Approve,Asian,Disapprove / Somewhat Disapprove,Citizen,22,Gotten worse / somewhat worse,4-Year,Never Heard / Not Sure,Once a Week,Part-Time,20k - 30k,No,Yes,New York,2022,union_hh,No,Never Heard / Not Sure,Single / Never Married,Don't Know,Liberal,,,Democratic,Democratic,,"Yes, definitely",,Yes,Democratic,Democratic,Democratic,Democratic
Female,Own,Approve / Somewhat Approve,Not Very Strong Democrat,Democratic,Not protestant,Yes,Buddhist,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Citizen,46,Gotten better / somewhat better,4-Year,Never Heard of this Person,A Few Times a Year,Homemaker,50k - 60k,No,Yes,Florida,2013,union_hh,No,Strongly Approve,Married,Hardly at all,Conservative,,,,,,,,,,,,
Male,Rent,Never Heard of this Person,Independent,,Nondenominational or Independent Church,Yes,Protestant,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Non-Citizen,32,Stayed about the same,Post-Grad,Never Heard of this Person,More Than Once a Week,Part-Time,30k - 40k,No,Yes,South Carolina,2019,union_hh,Yes,Disapprove / Somewhat Disapprove,Married,Some of the time,Moderate,,,,,,,,,,,,
Male,Own,Disapprove / Somewhat Disapprove,Not Very Strong Democrat,Did not Vote,Not protestant,No,Muslim,union,Very Important,Approve / Somewhat Approve,Asian,Disapprove / Somewhat Disapprove,Citizen,22,Gotten better / somewhat better,Some College,Approve / Somewhat Approve,Once or Twice a Month,Part-Time,50k - 60k,No,Yes,New York,2022,union_hh,No,Approve / Somewhat Approve,Single / Never Married,Only now and then,Moderate,,,Democratic,Republican,,Probably,,Yes,Democratic,Democratic,Democratic,Democratic
Female,Own,Strongly Approve,Not Sure,Democratic,Not protestant,Yes,Roman Catholic,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Citizen,39,Gotten better / somewhat better,4-Year,Disapprove / Somewhat Disapprove,Once a Week,Full-Time,150k+,No,No,New York,2022,union_hh,Yes,Approve / Somewhat Approve,Married,Most of the time,Not Sure,,,,,,"Yes, definitely",,No,,,Republican,
Male,Own,Disapprove / Somewhat Disapprove,Not Very Strong Republican,Republican,Not protestant,No,Nothing in Particular,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,67,Gotten much worse,High School Graduate,Strongly Disapprove,Never,Retired,40k - 50k,No,No,Hawaii,2012,union_hh,No,Strongly Disapprove,Divorced,Most of the time,Conservative,Voted,No Record of Party Registration,Republican,Republican,Active,"Yes, definitely",Republican,Yes,Republican,Republican,,
Male,Own,Disapprove / Somewhat Disapprove,Not Sure,Other Candidate,Not protestant,No,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,24,Stayed about the same,4-Year,Disapprove / Somewhat Disapprove,Once a Week,Full-Time,Prefer not to say,No,Yes,California,2011,union_hh,No,Disapprove / Somewhat Disapprove,Single / Never Married,Most of the time,Moderate,,,,,,,,,,,,
Female,Own,Disapprove / Somewhat Disapprove,Lean Democrat,Democratic,Not protestant,No,Something Else,union,Very Important,Approve / Somewhat Approve,Asian,Disapprove / Somewhat Disapprove,Citizen,19,Gotten worse / somewhat worse,Some College,Disapprove / Somewhat Disapprove,A Few Times a Year,Student,Prefer not to say,No,Yes,Illinois,2011,union_hh,No,Disapprove / Somewhat Disapprove,Single / Never Married,Some of the time,Liberal,,,,,,,,,,,,
Female,Own,Disapprove / Somewhat Disapprove,Independent,Republican,Nondenominational or Independent Church,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,58,Gotten worse / somewhat worse,Post-Grad,Never Heard of this Person,More Than Once a Week,Full-Time,Prefer not to say,No,Yes,Oklahoma,2013,union_hh,Yes,Disapprove / Somewhat Disapprove,Divorced,Some of the time,Moderate,,,,,,,,,,,,
Male,Rent,Never Heard / Not Sure,Not Very Strong Democrat,Did not Vote,Not protestant,Yes,Muslim,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Non-Citizen,50,Stayed about the same,2-Year,Never Heard / Not Sure,More Than Once a Week,Full-Time,20k - 30k,No,Yes,New York,2010,union_hh,No,Never Heard / Not Sure,Married,Hardly at all,Moderate,No Record of Voting,,,,Unregistered,,,No,,,,
Male,Rent,Disapprove / Somewhat Disapprove,Independent,,Not protestant,No,Nothing in Particular,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,26,Gotten worse / somewhat worse,Post-Grad,Disapprove / Somewhat Disapprove,More Than Once a Week,Part-Time,Prefer not to say,Yes,Yes,Texas,2014,union_hh,No,Disapprove / Somewhat Disapprove,Married,Only now and then,Conservative,No Record of Voting,No Record of Party Registration,,Democratic,No Record of Registration,Probably,,,Republican,,Republican,
Male,Rent,Approve / Somewhat Approve,Lean Republican,,Not protestant,No,Buddhist,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Approve / Somewhat Approve,Non-Citizen,30,Not sure,4-Year,Approve / Somewhat Approve,Once or Twice a Month,Part-Time,20k - 30k,No,Yes,Texas,2018,union_hh,No,Approve / Somewhat Approve,Married,Some of the time,Liberal,No Record of Voting,No Record of Party Registration,,,No Record of Registration,No,,,Republican,,,
Female,Rent,Strongly Disapprove,Strong Democrat,Democratic,Nondenominational or Independent Church,Yes,Protestant,union,Very Important,Approve / Somewhat Approve,Asian,Strongly Disapprove,Citizen,47,Gotten worse / somewhat worse,Some College,Never Heard / Not Sure,Once a Week,Part-Time,120k - 150k,No,No,Texas,2022,union_hh,Yes,Disapprove / Somewhat Disapprove,Married,Most of the time,Liberal,,,,Democratic,,"Yes, definitely",,Yes,,Democratic,Democratic,Democratic
Female,Own,Never Heard / Not Sure,Independent,,Nondenominational or Independent Church,No,Protestant,union,Very Important,Never Heard / Not Sure,Asian,Never Heard / Not Sure,Citizen,29,Not sure,Post-Grad,Never Heard / Not Sure,More Than Once a Week,Full-Time,Prefer not to say,No,No,New York,2016,union_hh,Yes,Never Heard / Not Sure,Single / Never Married,Only now and then,Moderate,No Record of Voting,No Record of Party Registration,,,No Record of Registration,Undecided,Democratic,,,,,
Female,Own,Never Heard / Not Sure,Not Very Strong Democrat,Democratic,Not protestant,No,Buddhist,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Citizen,24,Gotten much worse,4-Year,Approve / Somewhat Approve,A Few Times a Year,Full-Time,70k - 80k,No,Yes,Minnesota,2022,union_hh,No,Approve / Somewhat Approve,Single / Never Married,Only now and then,Moderate,,,,Democratic,,"Yes, definitely",,,,,Democratic,
Female,Own,Strongly Disapprove,Strong Republican,Did not Vote,Not protestant,No,Hindu,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,18,Stayed about the same,Some College,Approve / Somewhat Approve,Once a Week,Student,Prefer not to say,No,Yes,Texas,2022,union_hh,No,Never Heard / Not Sure,Single / Never Married,Hardly at all,Conservative,,,,Republican,,"Yes, definitely",,Yes,,Republican,Republican,Republican
Female,Own,Strongly Approve,Strong Republican,Republican,Baptist,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Strongly Approve,Citizen,70,Gotten much worse,4-Year,Strongly Approve,Once a Week,Retired,Prefer not to say,No,Yes,Texas,2022,union_hh,Yes,Approve / Somewhat Approve,Married,Some of the time,Very Conservative,,,,,,I already voted (early or absentee),,Yes,,,,Republican
Male,Own,Disapprove / Somewhat Disapprove,Not Very Strong Democrat,Democratic,Not protestant,Yes,Muslim,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Non-Citizen,46,Stayed about the same,4-Year,Disapprove / Somewhat Disapprove,A Few Times a Year,Full-Time,50k - 60k,No,Yes,Indiana,2011,union_hh,No,Disapprove / Somewhat Disapprove,Married,Most of the time,Very Liberal,,,,,,,,,,,,
Female,Rent,Never Heard / Not Sure,Independent,,Not protestant,Yes,Hindu,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Non-Citizen,39,Stayed about the same,4-Year,Never Heard / Not Sure,A Few Times a Year,Unemployed,60k - 70k,No,Yes,Utah,2016,union_hh,No,Never Heard / Not Sure,Married,Only now and then,Liberal,No Record of Voting,No Record of Party Registration,,,No Record of Registration,No,Democratic,,,,,
Male,Rent,Never Heard / Not Sure,Lean Democrat,,Not protestant,No,Muslim,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Citizen,23,Stayed about the same,High School Graduate,Never Heard / Not Sure,More Than Once a Week,Student,70k - 80k,No,Yes,Illinois,2012,union_hh,No,Never Heard / Not Sure,Single / Never Married,Only now and then,Moderate,No Record of Voting,No Record of Party Registration,,,Inactive,Undecided,,,,,,
Female,Other,Strongly Approve,Strong Republican,Republican,Baptist,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,22,Gotten much worse,Some College,Approve / Somewhat Approve,More Than Once a Week,Full-Time,30k - 40k,No,Yes,South Dakota,2016,union_hh,Yes,Strongly Approve,Single / Never Married,Some of the time,Very Conservative,Voted,No Record of Party Registration,Republican,Republican,Active,"Yes, definitely",Other Candidate,Yes,Republican,Republican,,
Female,Own,Strongly Disapprove,Not Very Strong Republican,Republican,Baptist,No,Protestant,union,Very Important,Approve / Somewhat Approve,Asian,Disapprove / Somewhat Disapprove,Citizen,62,Gotten worse / somewhat worse,Post-Grad,Disapprove / Somewhat Disapprove,More Than Once a Week,Retired,120k - 150k,No,Yes,California,2020,union_hh,Yes,Never Heard / Not Sure,Married,Some of the time,Conservative,No Record of Voting,No Record of Party Registration,,Republican,No Record of Registration,"Yes, definitely",Republican,Yes,,,,
Female,Rent,Approve / Somewhat Approve,Strong Democrat,Democratic,Not protestant,No,Buddhist,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,,30,Gotten better / somewhat better,Some College,Approve / Somewhat Approve,More Than Once a Week,Homemaker,30k - 40k,No,Yes,Pennsylvania,2015,union_hh,Yes,Approve / Somewhat Approve,Single / Never Married,Some of the time,Liberal,,,,,,,,,,,,
Female,Other,Never Heard / Not Sure,Not Very Strong Democrat,Democratic,Not protestant,No,Something Else,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Never Heard / Not Sure,Citizen,26,Gotten worse / somewhat worse,4-Year,Never Heard / Not Sure,More Than Once a Week,Student,150k+,No,Yes,New York,2022,union_hh,No,Approve / Somewhat Approve,Single / Never Married,Some of the time,Liberal,,,,Democratic,,"Yes, definitely",,,Democratic,,Democratic,
Male,Rent,Strongly Approve,Strong Republican,,Baptist,No,Protestant,union,Very Important,Strongly Approve,Asian,Strongly Approve,Citizen,20,Not sure,High School Graduate,Strongly Approve,Don't Know,Part-Time,40k - 50k,No,Yes,California,2016,union_hh,Yes,Strongly Approve,Single / Never Married,Most of the time,Very Conservative,Voted,No Record of Party Registration,,Democratic,Active,No,,,Democratic,,,
Male,Own,Disapprove / Somewhat Disapprove,Independent,Other Candidate,Not protestant,No,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Disapprove / Somewhat Disapprove,,28,Gotten better / somewhat better,4-Year,Approve / Somewhat Approve,More Than Once a Week,Student,30k - 40k,No,Yes,California,2015,union_hh,No,Disapprove / Somewhat Disapprove,Single / Never Married,Most of the time,Moderate,,,,,,,,,,,,
Male,Own,Never Heard / Not Sure,Independent,Republican,Church of Christ or Disciples of Christ,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,59,Gotten much worse,4-Year,Never Heard / Not Sure,More Than Once a Week,Full-Time,150k+,No,Yes,Colorado,2022,union_hh,Yes,Approve / Somewhat Approve,Married,Most of the time,Conservative,,,Republican,Republican,,"Yes, definitely",,Yes,Republican,Republican,Democratic,Democratic
Female,Rent,Approve / Somewhat Approve,Not Very Strong Republican,,Not protestant,Yes,Hindu,union,Very Important,Approve / Somewhat Approve,Asian,Strongly Approve,Non-Citizen,35,Gotten better / somewhat better,4-Year,Disapprove / Somewhat Disapprove,More Than Once a Week,Unemployed,50k - 60k,No,No,Ohio,2016,union_hh,Yes,Strongly Approve,Married,Only now and then,Conservative,No Record of Voting,No Record of Party Registration,,Republican,No Record of Registration,No,Democratic,,Republican,,,
Male,Own,Never Heard / Not Sure,Independent,Did not Vote,Not protestant,No,Nothing in Particular,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,Citizen,22,Gotten worse / somewhat worse,Some College,Never Heard / Not Sure,Once or Twice a Month,Unemployed,Prefer not to say,No,No,California,2009,union_hh,Yes,Never Heard / Not Sure,Single / Never Married,Only now and then,Moderate,,,,,,,,,,,,
Female,Own,Never Heard / Not Sure,Lean Republican,,Not protestant,No,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Never Heard / Not Sure,Citizen,28,Gotten much worse,Post-Grad,Never Heard / Not Sure,Once a Week,Full-Time,80k - 100k,No,No,North Carolina,2020,union_hh,No,Never Heard / Not Sure,Married,Some of the time,Moderate,Voted,Democratic Party,,,Active,I already voted (early or absentee),,,,,,
Female,Rent,Never Heard / Not Sure,Strong Republican,Republican,Presbyterian,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Never Heard / Not Sure,Citizen,35,Gotten worse / somewhat worse,Post-Grad,Never Heard / Not Sure,More Than Once a Week,Unemployed,30k - 40k,No,Yes,Florida,2010,union_hh,Yes,Never Heard / Not Sure,Married,Only now and then,Very Conservative,Voted,,Republican,Republican,Active,,,Yes,Republican,Republican,Republican,Republican
Female,Own,Approve / Somewhat Approve,Strong Republican,Republican,Not protestant,No,Roman Catholic,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Citizen,26,Gotten better / somewhat better,2-Year,Approve / Somewhat Approve,Once a Week,Part-Time,Prefer not to say,Yes,No,Texas,2020,union_hh,No,Approve / Somewhat Approve,Single / Never Married,Hardly at all,Conservative,Voted,Republican Party,Republican,Republican,Active,"Yes, definitely",Republican,Yes,Republican,Republican,,
Male,Rent,Approve / Somewhat Approve,Not Very Strong Democrat,Other Candidate,Not protestant,No,Something Else,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Approve / Somewhat Approve,Citizen,43,Gotten worse / somewhat worse,Post-Grad,Approve / Somewhat Approve,Once a Week,Full-Time,150k+,No,Yes,California,2016,union_hh,Yes,Disapprove / Somewhat Disapprove,Single / Never Married,Some of the time,Moderate,No Record of Voting,No Record of Party Registration,,Democratic,No Record of Registration,"Yes, definitely",Democratic,Yes,,Democratic,,
Male,Rent,Approve / Somewhat Approve,Lean Democrat,Did not Vote,Not protestant,Yes,Muslim,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Disapprove / Somewhat Disapprove,Non-Citizen,31,Gotten better / somewhat better,Post-Grad,Approve / Somewhat Approve,More Than Once a Week,Part-Time,20k - 30k,No,Yes,Texas,2022,union_hh,No,Strongly Disapprove,Married,Some of the time,Moderate,,,,Democratic,,,,Yes,,Democratic,Democratic,Democratic
Female,Own,Strongly Disapprove,Independent,Republican,Adventist,No,Something Else,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,65,Gotten much worse,Post-Grad,Strongly Disapprove,Once a Week,Full-Time,150k+,No,Yes,California,2022,union_hh,Yes,Strongly Disapprove,Married,Most of the time,Moderate,,,Republican,Republican,,"Yes, definitely",,Yes,Republican,Republican,Republican,Republican
Female,Own,Never Heard / Not Sure,Not Very Strong Republican,Did not Vote,Nondenominational or Independent Church,Yes,Protestant,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Strongly Disapprove,Citizen,35,Stayed about the same,4-Year,Never Heard / Not Sure,Once a Week,Full-Time,120k - 150k,No,Yes,California,2022,union_hh,Yes,Never Heard / Not Sure,Married,Some of the time,Conservative,,,Republican,Republican,,"Yes, definitely",,Yes,Republican,Republican,Republican,Republican
Female,Own,Strongly Approve,Strong Democrat,Democratic,Not protestant,No,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,49,Gotten much worse,Some College,Strongly Approve,Once a Week,Homemaker,Prefer not to say,No,No,California,2020,union_hh,No,Approve / Somewhat Approve,Married,Most of the time,Liberal,Voted,No Record of Party Registration,,,Active,I already voted (early or absentee),,Yes,,Democratic,,
Male,Own,Approve / Somewhat Approve,Strong Republican,,Not protestant,No,Mormon,union,Very Important,Strongly Disapprove,Asian,Strongly Approve,Citizen,38,Gotten worse / somewhat worse,High School Graduate,Never Heard of this Person,Once a Week,Student,150k+,Yes,No,California,2018,union_hh,No,Disapprove / Somewhat Disapprove,Single / Never Married,Most of the time,Very Conservative,No Record of Voting,No Record of Party Registration,,,No Record of Registration,No,,,,,,
Female,Own,Approve / Somewhat Approve,Not Very Strong Republican,Republican,Not protestant,Yes,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,41,Stayed about the same,4-Year,Disapprove / Somewhat Disapprove,Once or Twice a Month,Full-Time,60k - 70k,No,Yes,California,2011,union_hh,No,Approve / Somewhat Approve,Married,Some of the time,Conservative,,,,,,,,,,,,
Male,,Never Heard / Not Sure,Not Sure,Did not Vote,Not protestant,No,Hindu,union,Very Important,Strongly Approve,Asian,Never Heard / Not Sure,Non-Citizen,26,Not sure,2-Year,Never Heard / Not Sure,A Few Times a Year,Full-Time,Less than 10k,,Yes,Illinois,2008,union_hh,No,Never Heard / Not Sure,Single / Never Married,Some of the time,Moderate,No Record of Voting,,,,No Record of Registration,,,No,,,,
Female,Other,Never Heard / Not Sure,Not Very Strong Democrat,Democratic,Not protestant,No,Hindu,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Never Heard / Not Sure,Citizen,27,Gotten much worse,Post-Grad,Never Heard / Not Sure,Don't Know,Full-Time,Prefer not to say,No,Yes,California,2022,union_hh,No,Never Heard / Not Sure,Single / Never Married,Some of the time,Not Sure,,,Democratic,Democratic,,"Yes, definitely",,Yes,Democratic,Democratic,Democratic,Democratic
Male,Rent,Never Heard / Not Sure,Not Very Strong Democrat,,Baptist,No,Protestant,union,Very Important,Approve / Somewhat Approve,Asian,Disapprove / Somewhat Disapprove,Citizen,19,Gotten worse / somewhat worse,Some College,Never Heard / Not Sure,Once or Twice a Month,Student,120k - 150k,No,Yes,Hawaii,2022,union_hh,Yes,Approve / Somewhat Approve,Single / Never Married,Only now and then,Moderate,,,,Democratic,,Probably,,,Democratic,,Republican,
Female,Own,Strongly Disapprove,Lean Republican,Republican,Not protestant,No,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,37,Gotten much worse,4-Year,Approve / Somewhat Approve,Once a Week,Full-Time,70k - 80k,No,No,Illinois,2021,union_hh,No,Strongly Disapprove,Domestic Partnership,Most of the time,Very Conservative,,,,,,,,,,,,
Female,Own,Disapprove / Somewhat Disapprove,Independent,,Not protestant,Yes,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,45,Stayed about the same,Post-Grad,Approve / Somewhat Approve,A Few Times a Year,Part-Time,20k - 30k,No,Yes,Texas,2018,union_hh,No,Approve / Somewhat Approve,Married,Hardly at all,Liberal,No Record of Voting,No Record of Party Registration,,Independent,No Record of Registration,No,,No,Democratic,,Democratic,
Female,Own,Approve / Somewhat Approve,Strong Republican,Republican,Nondenominational or Independent Church,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Strongly Approve,Citizen,33,Stayed about the same,Post-Grad,Approve / Somewhat Approve,Once a Week,Permanently Disabled,30k - 40k,Yes,Yes,Texas,2016,union_hh,Yes,Approve / Somewhat Approve,Single / Never Married,Most of the time,Very Conservative,No Record of Voting,No Record of Party Registration,,Republican,Unregistered,"Yes, definitely",Republican,Yes,,Republican,,
Female,Rent,Disapprove / Somewhat Disapprove,Strong Democrat,Democratic,Not protestant,Yes,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,39,Gotten worse / somewhat worse,4-Year,Disapprove / Somewhat Disapprove,A Few Times a Year,Homemaker,10k - 20k,No,Yes,Hawaii,2019,union_hh,No,Approve / Somewhat Approve,Married,Some of the time,Moderate,,,,,,,,,,,,
Male,Rent,Disapprove / Somewhat Disapprove,Strong Republican,Other Candidate,Nondenominational or Independent Church,Yes,Protestant,union,Very Important,Approve / Somewhat Approve,Asian,Disapprove / Somewhat Disapprove,Citizen,34,Gotten much worse,4-Year,Approve / Somewhat Approve,More Than Once a Week,Full-Time,70k - 80k,No,No,Minnesota,2020,union_hh,Yes,Strongly Disapprove,Divorced,Most of the time,Very Conservative,Voted,No Record of Party Registration,Republican,Republican,Active,"Yes, definitely",,Yes,Republican,Republican,,
Female,Own,Approve / Somewhat Approve,Not Sure,,Not protestant,No,Roman Catholic,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,Non-Citizen,25,Gotten better / somewhat better,Some College,Never Heard of this Person,Seldom,Unemployed,Prefer not to say,No,Yes,Maine,2018,union_hh,No,Approve / Somewhat Approve,Married,Only now and then,Moderate,No Record of Voting,No Record of Party Registration,,,No Record of Registration,Undecided,,No,,,Republican,
Female,Rent,Disapprove / Somewhat Disapprove,Strong Democrat,Democratic,Not protestant,No,Muslim,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,Non-Citizen,26,Stayed about the same,Some College,Strongly Disapprove,Don't Know,Part-Time,30k - 40k,No,Yes,California,2016,union_hh,No,Approve / Somewhat Approve,Single / Never Married,Some of the time,Liberal,No Record of Voting,No Record of Party Registration,Democratic,Democratic,No Record of Registration,"Yes, definitely",Democratic,Yes,Democratic,Democratic,,
Female,Own,Disapprove / Somewhat Disapprove,Not Very Strong Republican,Republican,Methodist,Yes,Buddhist,union,Very Important,Approve / Somewhat Approve,Asian,Strongly Disapprove,Citizen,55,Gotten better / somewhat better,4-Year,Approve / Somewhat Approve,A Few Times a Year,Full-Time,150k+,No,Yes,California,2017,union_hh,No,Strongly Disapprove,Married,Most of the time,Conservative,,,,,,,,,,,,
Female,Own,Approve / Somewhat Approve,Not Sure,Democratic,Baptist,No,Protestant,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Citizen,59,Gotten much better,High School Graduate,Approve / Somewhat Approve,Once a Week,Homemaker,100k - 120k,No,No,Massachusetts,2014,union_hh,Yes,Approve / Somewhat Approve,Married,Some of the time,Moderate,No Record of Voting,No Record of Party Registration,,Democratic,Active,"Yes, definitely",,No,,,,
Male,Own,Never Heard / Not Sure,Not Very Strong Democrat,Democratic,Presbyterian,No,Protestant,union,Very Important,Strongly Approve,Asian,Never Heard / Not Sure,Citizen,58,Not sure,Post-Grad,Never Heard / Not Sure,Once a Week,Retired,80k - 100k,No,Yes,California,2016,union_hh,Yes,Never Heard / Not Sure,Married,Only now and then,Conservative,Voted,No Record of Party Registration,Democratic,Democratic,Active,"Yes, definitely",Democratic,Yes,Democratic,Democratic,,
Female,Own,Strongly Disapprove,Strong Republican,Republican,Not protestant,Yes,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Disapprove / Somewhat Disapprove,Citizen,29,Gotten much worse,4-Year,Strongly Disapprove,Seldom,Homemaker,50k - 60k,No,No,Tennessee,2021,union_hh,No,Strongly Disapprove,Married,Only now and then,Very Conservative,,,,,,,,,,,,
Female,Own,Never Heard / Not Sure,Not Very Strong Democrat,Democratic,Not protestant,Yes,Roman Catholic,union,Very Important,Approve / Somewhat Approve,Asian,Strongly Approve,Citizen,49,Stayed about the same,4-Year,Strongly Approve,Once a Week,Full-Time,80k - 100k,No,No,California,2016,union_hh,No,Approve / Somewhat Approve,Married,Some of the time,Moderate,No Record of Voting,No Record of Party Registration,Democratic,Democratic,No Record of Registration,"Yes, definitely",Democratic,Yes,,Democratic,,
Male,Rent,Strongly Disapprove,Lean Republican,Republican,Not protestant,No,Eastern or Greek Orthodox,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,31,Stayed about the same,Post-Grad,Never Heard / Not Sure,Once a Week,Full-Time,80k - 100k,No,Yes,California,2016,union_hh,No,Strongly Disapprove,Single / Never Married,Most of the time,Very Conservative,No Record of Voting,No Record of Party Registration,Democratic,Republican,No Record of Registration,"Yes, definitely",Third Party,Yes,,Republican,,
Male,Other,Never Heard / Not Sure,Strong Republican,Did not Vote,Baptist,No,Protestant,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Never Heard / Not Sure,,19,Stayed about the same,Some College,Never Heard / Not Sure,Once or Twice a Month,Student,Prefer not to say,Yes,No,Illinois,2015,union_hh,Yes,Never Heard / Not Sure,Single / Never Married,Only now and then,Conservative,,,,,,,,,,,,
