Total_population__Both_sexes_,Taxable_income__million_yen_,Ordinal_Number_of_employed_persons,Number_of_households__Total_,Ordinal_Number_of_physicians,Number_of_dwellings_with_occupying_households,Ordinal_Total_population__65_and_over_,Number_of_lower_secondary_school_students,Number_of_elderly_nursing_facilities__Questionnaire_about_basic_matters_
b,b,d,b,a,,c,b,a
a,c,e,a,a,c,d,a,a
d,d,e,d,a,c,c,d,d
d,d,e,d,a,d,c,d,d
c,c,e,c,a,c,b,c,d
c,b,e,a,a,,c,c,c
c,a,e,c,a,c,d,a,a
a,b,e,a,a,a,e,a,d
b,b,e,b,a,d,d,b,c
d,d,e,d,a,c,e,d,b
c,d,e,d,a,d,d,d,b
c,c,e,a,a,,d,c,b
c,b,e,c,a,,d,a,a
a,c,e,a,a,b,c,a,d
a,b,e,c,a,b,c,c,b
a,a,f,b,a,b,c,b,b
a,,e,c,a,,d,a,a
a,d,e,b,a,a,c,a,c
c,d,f,c,a,,c,c,c
d,d,e,d,a,,e,d,b
b,d,e,a,a,,c,a,a
a,a,f,a,a,,e,a,a
c,a,e,a,a,d,d,a,a
d,c,e,d,a,b,d,d,d
c,d,d,c,a,,d,d,d
d,d,e,d,a,c,d,d,d
b,b,e,b,a,a,d,b,c
c,d,e,c,a,a,e,a,b
c,c,e,c,a,d,c,c,d
b,b,e,b,a,a,d,b,a
d,d,f,d,a,b,e,d,d
b,c,h,a,a,,d,b,d
a,a,e,a,a,,d,b,a
c,,f,d,a,b,c,c,d
b,b,e,b,a,b,c,b,a
b,b,f,b,a,d,d,b,a
c,a,f,c,a,c,d,a,d
c,b,f,a,a,a,d,a,a
c,d,f,c,a,b,c,c,b
c,,e,d,a,,e,d,b
b,b,e,b,a,,d,b,a
a,,e,b,a,d,c,a,b
a,c,e,c,a,b,f,d,a
a,,f,b,a,a,d,b,d
c,c,e,c,a,b,d,d,d
d,d,f,d,a,c,d,d,d
d,d,e,d,a,b,d,d,d
c,b,d,c,a,a,d,a,a
b,a,d,b,a,b,b,b,a
b,b,e,b,a,a,c,b,a
c,d,e,d,a,,e,d,d
b,b,e,b,a,,e,b,c
c,b,f,a,a,b,d,a,a
c,a,e,d,a,a,b,c,a
d,d,f,d,a,,f,d,b
a,a,e,c,a,b,d,b,a
c,,e,d,a,,d,c,a
c,d,e,d,a,d,c,d,d
a,,e,c,a,c,c,c,b
d,a,e,d,a,b,d,d,d
c,d,e,a,a,a,d,b,d
c,c,e,a,a,c,e,c,b
a,b,f,b,a,a,e,a,a
a,a,f,c,a,c,d,c,a
a,a,e,c,a,b,c,c,d
c,d,e,c,a,b,e,d,b
a,b,e,a,a,d,e,a,a
c,b,e,a,a,c,c,c,c
c,d,f,c,a,,d,a,b
c,a,d,d,a,a,d,a,b
a,b,f,b,a,a,e,c,a
a,b,f,a,a,a,e,a,c
d,d,f,d,a,b,e,d,d
c,d,f,c,a,d,d,b,b
a,a,e,b,a,a,d,c,b
b,b,e,b,a,d,c,b,c
a,,e,b,a,a,c,c,d
a,,f,b,a,,d,a,b
c,d,f,c,a,d,d,c,d
d,c,e,d,a,d,c,d,d
a,c,e,c,a,,d,c,a
a,b,e,b,a,a,d,c,a
a,a,f,b,a,d,d,b,b
c,d,f,d,a,c,c,c,b
d,a,e,b,a,c,d,a,a
a,a,e,a,a,,c,c,b
c,c,e,c,a,b,c,a,d
c,d,f,a,a,d,e,c,b
b,b,e,b,a,a,d,b,c
a,a,f,a,a,,c,a,a
c,d,e,c,a,,c,d,d
b,b,e,b,a,d,d,b,a
c,,e,c,a,a,d,a,d
c,,e,d,a,b,f,c,c
b,a,e,a,a,b,d,b,a
a,c,e,c,a,d,d,a,b
c,c,f,c,a,,d,a,d
c,a,f,a,a,,c,a,a
a,c,e,a,a,b,d,c,d
c,b,e,a,a,d,d,a,c
c,d,e,c,a,,d,d,d
a,,e,a,a,b,d,c,b
c,a,f,b,a,b,e,c,a
b,a,e,a,a,,c,a,c
d,a,e,d,a,b,d,d,a
b,a,e,c,a,,b,c,d
c,c,e,a,a,b,d,a,a
c,c,e,c,a,b,c,d,b
d,c,e,a,a,,d,c,b
b,b,f,b,a,a,d,b,b
b,b,e,a,a,a,e,a,c
b,a,g,b,a,,c,b,a
d,d,e,d,a,c,c,d,b
a,,e,c,a,c,d,c,a
a,c,f,c,a,d,c,b,b
c,d,e,a,a,,d,a,c
b,b,e,b,a,b,d,b,a
b,c,e,b,a,c,d,b,a
d,,e,d,a,b,d,d,b
a,a,e,a,a,d,c,a,b
a,c,f,a,a,,e,b,a
d,a,f,d,a,,d,d,d
b,b,g,a,a,,d,b,b
d,c,e,d,a,,c,d,d
c,c,f,a,a,b,d,c,c
d,,e,d,a,,e,d,d
c,a,e,d,a,b,e,a,b
c,d,f,c,a,d,d,b,a
c,a,e,c,a,d,d,c,d
c,a,f,c,a,b,e,b,c
d,,e,d,a,c,e,c,d
c,a,e,c,a,,d,a,b
b,b,e,b,a,d,e,b,a
d,d,e,d,a,c,e,d,b
a,d,e,c,a,c,b,d,b
c,c,e,a,a,,d,c,c
a,a,e,a,a,a,c,a,a
b,b,e,b,a,,f,a,a
c,d,e,a,a,b,e,d,a
a,c,e,a,a,a,c,d,c
d,d,d,d,a,b,c,d,d
d,d,e,d,a,b,e,d,d
c,d,e,a,a,,c,c,c
d,d,e,d,a,c,d,d,d
a,b,e,a,a,,d,c,a
c,b,e,a,a,a,c,c,b
a,a,e,d,a,,d,a,b
c,d,f,c,a,c,e,d,a
c,d,e,b,a,c,c,a,a
d,d,e,d,a,,d,d,b
c,c,e,a,a,,d,a,c
b,c,e,c,a,,c,a,d
c,c,f,c,a,a,d,c,d
d,c,f,d,a,b,d,c,d
b,a,e,b,a,a,d,b,a
c,c,e,c,a,c,c,d,c
d,d,e,d,a,c,b,d,a
b,a,e,b,a,b,d,b,a
b,b,f,b,a,a,b,b,a
c,b,f,a,a,b,c,a,a
a,,e,a,a,d,d,c,d
d,c,e,a,a,c,c,d,c
c,c,e,a,a,b,d,d,c
a,d,e,c,a,d,d,c,c
a,c,e,a,a,a,c,a,a
b,b,f,a,a,b,c,a,a
c,a,f,d,a,,d,d,c
c,,e,d,a,,d,d,b
a,a,e,a,a,a,d,a,a
d,,e,c,a,,e,c,b
a,c,e,a,a,,e,a,a
d,a,f,a,a,b,c,c,c
a,c,e,c,a,b,c,a,d
c,d,f,a,a,a,d,c,d
d,c,e,c,a,b,d,d,d
c,a,e,c,a,,d,c,b
a,a,f,b,a,a,c,a,a
c,,f,c,a,b,f,c,d
c,d,e,b,a,b,d,c,b
d,d,e,d,a,c,d,c,d
c,a,e,d,a,d,e,d,d
b,b,f,c,a,,e,b,b
b,a,d,a,a,d,d,a,a
a,a,f,c,a,,e,a,b
b,b,f,b,a,c,d,b,a
b,b,e,b,a,d,e,b,a
d,a,e,c,a,,e,c,b
a,a,e,b,a,a,e,b,a
b,b,f,b,a,d,d,b,a
a,a,e,b,a,d,c,a,c
b,a,e,a,a,c,d,b,a
a,,f,a,a,a,d,a,a
d,c,f,c,a,c,d,c,a
a,b,e,a,a,d,d,c,a
a,b,e,b,a,,c,b,d
a,a,f,a,a,a,e,a,b
b,b,e,b,a,a,e,b,a
d,d,e,c,a,d,d,d,d
a,a,f,a,a,,c,a,a
d,c,e,c,a,a,d,c,d
c,c,e,c,a,,d,c,a
c,c,e,c,a,b,f,c,d
d,d,e,c,a,,d,a,b
b,b,e,b,a,,d,b,b
b,c,f,a,a,,e,c,a
a,c,e,c,a,,e,d,b
b,b,e,b,a,,e,b,a
d,d,e,d,a,c,d,d,b
b,b,f,b,a,b,c,b,a
c,,d,d,a,c,c,d,d
b,b,f,b,a,a,d,b,a
a,,f,c,a,b,d,a,b
d,d,e,d,a,b,e,d,d
c,,e,d,a,d,e,d,b
b,b,d,b,a,d,c,b,a
a,c,e,c,a,c,d,c,d
c,a,e,c,a,a,c,c,b
a,a,e,c,a,a,f,a,a
c,b,e,c,a,a,d,a,c
a,d,f,c,a,,e,c,c
b,a,f,b,a,a,c,b,a
b,c,f,b,a,a,c,c,a
